node,conceptualized_node,node_type
皇帝因惊吓而倒下，左右侍从急救入宫。,"传授, 知识, 教导",event
老人以天书三卷授之,"异象, 天象, 神秘",event
六月朔黑气十余丈飞入温德殿中,"逃散, 慌乱, 躲避",event
百官奔避,"瘟疫, 流行, 疾病, 疫情",event
中平元年正月内疫气流行,"统一, 合并, 吞并",event
并入于秦,"弄权, 腐败, 专权",event
时有宦官曹节等弄权.,"呼风唤雨, 道法, 神通, 太平",event
能呼风唤雨，号为「太平道人」,"兄弟, 生活, 家庭",event
张角在钜鹿郡与兄弟张宝、张梁一起生活。,"商议, 决策, 会议",event
幽州太守刘焉召校尉邹靖计议。,"历史, 起源, 帝制",event
殆始于桓、灵二帝,"起义, 反抗, 革命, 传说",event
高祖斩白蛇而起义,"争霸, 分裂, 对抗",event
马元义被大将军何进调兵擒获并斩首,"采药, 奇遇, 仙缘",event
楚、汉分争,"皇权, 威严, 天象",event
张角入山采药时遇到南华老仙。,"辅政, 合作, 支持",event
帝御温德殿，方升座，殿角狂风骤起,"学习, 修炼, 钻研",event
大将军窦武、太傅陈蕃共相辅佐.,"求学, 师从, 学习",event
张角得此书，晓夜功习,"中兴, 分裂, 传承, 历史",event
嘗師事鄭玄、盧植.,"动乱, 原因, 根源",event
后来光武中兴，传至献帝，遂分为三国。,"起义, 统一, 建国, 征战",event
推其致乱之由,"调兵, 擒拿, 命令, 军事行动",event
汉朝自高祖斩白蛇而起义，一统天下。,"震惊, 意外, 惊慌",event
邹靖建议刘焉速招军应敌,"地震, 灾害, 历史事件",event
帝召大将军何进调兵擒马元义,"起义, 反抗, 群众运动",event
帝惊倒,"入侵, 战争, 冲突",event
"斩之 ,次收封谞等一干人下狱","朝代更替, 历史变迁, 政权交替",event
建宁四年二月洛阳地震,"仪式, 庆典, 朝拜",event
四方百姓裹黄巾从反者四五十万,"蛇行, 盘绕, 下降",event
张角一军侵犯幽州界分。,"冲突, 战争, 分裂",event
秦灭之后,"争霸, 统一, 兼并",event
建宁二年四月望日，皇帝在温德殿举行仪式。,"传承, 继位, 历史",event
一条大青蛇从梁上飞将下来，蟠于椅上,"采药, 偶遇, 奇缘",event
周末七国分争,"灾难, 洪水, 逃生, 危险",event
秦灭之后，楚、汉分争，又并入于汉。,"蛇行, 降落, 盘踞",event
传至献帝,"统一, 征服, 合并",event
张角入山采药，遇一老人,"复兴, 改革, 振兴",event
一统天下,"入侵, 征战, 边界冲突",event
海水泛滥沿海居民尽被大浪卷入海中,"天象, 地震, 自然现象",event
一条大青蛇从梁上飞下，蟠于椅上。,"传授, 天书, 使命, 启示",event
周末七国分争，并入于秦。,"商议, 决策, 会议",event
光武中兴,"溃败, 恐惧, 失势",event
张角一军前犯幽州界分,"起义, 反抗, 聚集, 叛乱",event
邹靖建议刘焉招军应敌。,"监禁, 逮捕, 司法",event
种种不祥非止一端 },"现象, 征兆, 事件",entity
帝,"皇帝, 君主, 统治者",entity
百官,"官员, 政府人员, 公务员",entity
邹靖,"人物, 建议者, 参与者",entity
天书三卷,"书籍, 天书, 卷轴",entity
招募义兵,"招募, 义兵, 建议",entity
大将军何进,"将军, 人物, 历史人物",entity
中平元年,"年份, 时间, 纪元",entity
周末七国,"国家, 七国, 战国",entity
刘备,"人物, 君主, 英雄",entity
幽州太守,"官职, 太守, 职位",entity
汉,"朝代, 历史, 文化",entity
大将军窦武,"人物, 将军, 官员",entity
"太平要术, 世人","天书, 书籍, 道教",entity
左右侍从,"侍从, 随从, 助手",entity
高祖,"皇帝, 统治者, 领袖",entity
献帝,"皇帝, 君主, 统治者",entity
大青蛇,"蛇, 动物, 生物",entity
马元义,"人物, 历史人物, 将领",entity
左右急救入宫,"急救, 事件, 行动",entity
郑玄、卢植,"人物, 学者, 老师",entity
张角,"人物, 领袖, 起义者",entity
黄巾’,"起义, 叛乱, 运动",entity
温德殿,"宫殿, 建筑, 场所",entity
封谞,"人物, 官员, 囚犯",entity
"黑气 ,温德殿","黑气, 气体, 现象",entity
太平要术,"书籍, 经典, 文献",entity
光武,"皇帝, 君主, 统治者",entity
秦,"朝代, 国家, 帝国",entity
中山靖王刘胜之后,"后裔, 子孙, 后代",entity
楚,"国家, 朝代, 政权",entity
宦官曹节,"宦官, 人物, 权臣",entity
太傅陈蕃,"太傅, 官员, 辅佐者",entity
汉朝,"朝代, 历史, 帝国",entity
盧植,"人物, 学者, 历史人物",entity
雌鸡化雄,"现象, 异变, 奇观",entity
四方百姓,"百姓, 民众, 人民",entity
三国,"历史, 时代, 时期",entity
疫气,"疫病, 疾病, 瘟疫",entity
钜鹿郡,"郡县, 地区, 行政区",entity
张梁,"人物, 兄弟, 角色",entity
汉鲁恭王之后,"后裔, 家族, 后代",entity
黑气飞入温德殿中,"现象, 异象, 事件",entity
沿海居民,"居民, 人群, 百姓",entity
不第秀才,"秀才, 人物, 角色",entity
洛阳,"城市, 古都, 地名",entity
大贤良师,"称号, 头衔, 尊称",entity
皇帝,"君主, 统治者, 帝王",entity
虹现于玉堂五原山岸崩裂,"自然现象, 灾害, 异象",entity
椅上,"位置, 地点",entity
南华老仙,"神仙, 仙人, 传说人物",entity
幽州,"州郡, 地区, 地域",entity
刘焉,"人物, 官员, 太守",entity
"虹 ,玉堂 ,五原山岸","彩虹, 自然现象, 地质事件",entity
张宝,"人物, 兄弟, 将军",entity
鄭玄,"人物, 学者, 儒家",entity
地公将军,"将军, 人物, 角色",entity
自称,"自述, 自我宣称, 自称",relation
是,"存在, 属于, 等同",relation
学习,"获取知识, 掌握技能, 研究",relation
建议,"提议, 推荐, 劝告",relation
结果,"后果, 成果, 结局",relation
之后,"后续, 随后, 之后",relation
is participated by,"被参与, 由...参加, 涉及",relation
蟠于,"缠绕, 盘绕",relation
引起,"触发, 导致, 引发",relation
进犯,"入侵, 攻击, 侵犯",relation
师事,"拜师, 从师, 学艺",relation
